Problem Statement,Vehicle Type,Category,Solution,,,
My dashboard warning lights on.,Car,Electrical,Use an OBD-II scanner to retrieve diagnostic trouble codes. Address the specific issue indicated by the codes.,,,
 My transmission fluid leaks.,Car,Transmission,"Identify and fix the source of the leak. Check transmission fluid levels and top up if necessary. If the leak continues, consult a mechanic",,,
My electric bike is not holding charge.,Bike,Electrical,Check the battery connections and charging cable.,,,
I am having difficulty in shifting gears.,Bike,Transmission,Check clutch cable tension and adjust if necessary. Inspect the gearbox and replace worn-out components,,,
I am having problem of loose steering.,Bike,Transmission,Check and tighten headset bearings. Inspect the stem and handlebars for proper assembly.,,,
I am experiencing strange noise when turning.,Car,Steering,Inspect power steering fluid levels and condition. Check for worn-out tie rods or steering components,,,
My bike's chain makes noise while applying gears.,Bike,Transmission,Lubricate the chain and check for chain wear.,,,
I am experiencing difficulty starting my bike.,Bike,Electrical System,Check the battery and charging system. Inspect the starter motor and replace if necessary. Consult a bike mechanic if issues continue.,,,
My car's brakes are squeaking.,Car,Braking System,Inspect brake pads  lubricate caliper pins  and replace worn-out pads. Consult a mechanic if noise persists.,,,
I am having an issue with unresponsive acceleration on my bike.,Bike,Engine,Check throttle cables  air filter  and carburetor. Clean or replace as needed. Consult a bike mechanic for further diagnosis.,, ,
My car is experiencing transmission slipping.,Car,Transmission System,Check transmission fluid levels and condition. Inspect and  if needed  replace the transmission. Consult a mechanic for further diagnosis., ,,
I am having trouble with my bike chain skipping gears.,Bike,Transmission System,Adjust the derailleur and check chain tension. Replace a worn-out chain or cassette. Consult a bike shop for assistance.,,,
My car is heating.,Car,Cooling System,Check coolant levels  radiator  and hoses. Replace a faulty thermostat or water pump. Inspect for leaks in the cooling system.,,,
I am experiencing noisy suspension on my bike.,Bike,Suspension System,Inspect and replace worn-out shocks or fork components. Check for loose bolts and lubricate moving parts.,,,
My car has the check engine light on.,Car,Engine Management,Use an OBD-II scanner to retrieve diagnostic trouble codes. Address the specific issue indicated by the codes. Consult a mechanic for further diagnosis.,,,
I am having steering wheel vibration at high speeds in my car.,Car,Wheel and Tire System,Check wheel balance and tire condition. Rotate or replace tires. Inspect and  if necessary  replace worn-out or damaged wheel bearings.,,,
My bike won't start due to an electrical issue.,Bike,Electrical System,Check the battery connections and charging system. Test the battery's voltage and condition. If the battery is old or faulty  consider replacement, ,,
.I am experiencing a strange noise when turning in my car,Car,Steering System,Inspect power steering fluid levels and condition. Check for worn-out tie rods or steering components. Consult a mechanic for a detailed inspection.,,,
My scooter is making unusual engine sounds.,Bike,Engine,Inspect the exhaust system and engine components for loose parts. Check the oil level and quality. If the noise persists  consult a  mechanic,,,
My car has a brake fluid leak.,Car,Braking System,Identify and fix the source of the leak. Replace or repair brake lines. Refill brake fluid and bleed the system.,,,
I am having issues with loose steering in my car.,Car,Steering System,Check for loose or worn-out steering components. Inspect the power steering pump and belt. ,,,
My car is experiencing a loss of power.,Car,Engine,Check for clogged air filters  or exhaust restrictions. Inspect the fuel injection system.,,,
I am having my bicycle pulling to one side while riding.,Bicycle,Wheel and Tire System,Check tire pressure and alignment. Inspect the wheel spokes for tension. Adjust or replace the tire if necessary.,,,
My car is emitting smoke from the exhaust.,Car,Exhaust System,Check for oil or coolant leaks into the exhaust. Inspect the catalytic converter for damage. Consult a mechanic for further diagnosis.,,,
I am experiencing noisy suspension on my car.,Car,Suspension System,Inspect and replace worn-out shocks or struts. Check for damaged or worn-out bushings  control arms  or other suspension components.,,,
My bike's steering wheel is vibrating.,Bike,Wheel and Tire System,Check wheel balance and tire condition. Rotate or replace tires. Inspect and if necessary  replace worn-out or damaged wheel bearings.,,,
My car has dashboard warning lights on.,Car,Electrical System,Use an OBD-II scanner to retrieve diagnostic trouble codes. Diagnose and address the specific issue indicated by the codes. ,,,
I am experiencing unsteady handlebars on my bike.,Bike,Steering System,Check handlebar and stem bolts for proper tightness. Inspect the headset for wear or damage. Consult a bike shop for professional assistance.,,,
My car's dashboard lights are dimming.,Car,Electrical System,Check alternator output and battery condition. Inspect for loose or corroded battery terminals. Consult a mechanic for further electrical system inspection.,,,
My car has brake fluid contamination.,Car,Braking System,Identify and fix the source of contamination. Flush and replace brake fluid. Inspect and replace damaged brake components.,,,
My bike's brake pedal is spongy.,Bike,Braking System,Bleed the brake system to remove air bubbles. Inspect for brake fluid leaks. Replace brake fluid if necessary.,,,
I am experiencing rough idling in my car.,Car,Engine,Check and clean the idle air control valve. Inspect for vacuum leaks and replace the air filter. Consult a mechanic for further diagnosis.,,,
My bicycle is experiencing pedal issues.,Bicycle,Transmission System,Check pedal bearings and lubricate. Inspect the crankset for wear. Replace or service components as needed.,,,
My car is having issues with a rough ride.,Car,Suspension System,Inspect shocks and struts for leaks or damage. Check for worn-out bushings and suspension components. Consult a mechanic for suspension system inspection.,,,
I am having bike brake lever sponginess.,Bike,Braking System,Bleed the brake system to remove air bubbles. Inspect for brake fluid leaks. Replace brake fluid if necessary.,,,
My car is making clunking noises over bumps.,Car,Suspension System,Check for loose or damaged suspension components. Inspect sway bar links and bushings. Consult a mechanic for suspension system inspection.,,,
I am experiencing bike gears not shifting smoothly.,Bike,Transmission System,Adjust derailleur indexing and cable tension. Check for bent derailleur hangers. Consult a bike shop for assistance.,,,
My car is emitting excessive exhaust smoke.,Car,Engine,"Identify the color of the smoke (blue , white or black) for diagnostic clues.",,,
I am dealing with a bike tire puncture.,Bicycle,Wheel and Tire System,Remove the tire and locate the puncture.,,,
My car's air conditioning is not cooling.,Car,HVAC System,Check refrigerant levels inspect for leaks  and clean or replace air filters,,,
I am experiencing bike chain dropping issues.,Bike,Transmission System,Adjust the front derailleur and limit screws. Check chainring for wear. Consult a bike shop for professional assistance.,,,
My car is vibrating at high speeds,Car,Wheel and Tire System,Check wheel balance and alignment. Rotate or replace tires. Inspect and  if necessary  replace worn-out or damaged wheel bearings.,,,
I am having issues with my bike's gear shifting,Bike,Transmission System,Adjust derailleur indexing and cable tension. Inspect for bent derailleur hangers. Consult a bike shop for assistance.,,,
My car's headlights are not working.,Car,Electrical System,Check for loose or corroded battery terminals. Inspect the alternator and voltage regulator. Consult a mechanic for further electrical system inspection.,,,
I am experiencing a wobbling sensation in my bike's front wheel,Bike,Wheel and Tire System,Inspect the wheel for damage or loose spokes. Check for proper wheel alignment. Consult a bike shop for professional assistance.,,,
My car's fuel gauge is not working,Car,Electrical System,Check the fuel gauge sender unit and wiring. Inspect the fuel level sensor. Consult a mechanic for further diagnosis.,,,
I am having difficulty shifting gears on my bike,Bike,Transmission System,Adjust gear cable tension. Inspect and lubricate the derailleur. Consult a bike shop for assistance.,,,
My car's power windows are not working,Car,Electrical System,Check the power window fuses and switches. Inspect the window regulator and motor. Consult a mechanic for further electrical system inspection.,,,
I am experiencing a rattling noise from my bike's chain,Bike,Transmission System,Inspect chain tension and lubrication. Check for chain wear. Consult a bike shop for assistance.,,,
My car's exhaust is emitting a strong odor,Car,Exhaust System,Inspect the exhaust system for leaks. Check for a malfunctioning catalytic converter. Consult a mechanic for further diagnosis.,,,
I am having issues with my bike's brake calipers rubbing,Bike,Braking System,Adjust brake caliper alignment. Inspect for brake pad wear. Consult a bike shop for professional assistance.,,,
My car's horn has problem.,Car,Electrical System,Check the horn fuse and wiring. Inspect the horn relay and horn unit. Consult a mechanic for further electrical system inspection.,,,
I am experiencing a clicking noise when turning my bike,Bike,Steering System,Inspect headset for looseness. Check for damaged bearings in the headset. Consult a bike shop for professional assistance.,,,
My car's windshield wipers are streaking,Car,Electrical System,Check wiper blades for wear. Inspect the wiper arms and windshield washer fluid levels. Replace blades if necessary. Consult a mechanic for further electrical system inspection.,,,
I am having issues with my bike's suspension sagging,Bike,Suspension System,Inspect and adjust suspension preload settings. Check for worn-out suspension components. Consult a bike shop for professional assistance.,,,
My car's airbag warning light is illuminated,Car,Safety System,Use an OBD-II scanner to retrieve airbag system trouble codes. Inspect airbag sensors and wiring. Consult a mechanic for further diagnosis.,,,
I am experiencing a creaking sound from my bike's bottom bracket,Bike,Transmission System,Inspect bottom bracket for wear. Remove  clean  and re-grease if necessary. Consult a bike shop for assistance.,,,
My car's door locks are malfunctioning,Car,Electrical System,Check the door lock fuses and wiring. Inspect the door lock actuators. Consult a mechanic for further electrical system inspection.,,,
I am having issues with my bike's front derailleur,Bike,Transmission System,Adjust front derailleur alignment and limit screws. Inspect for cable tension issues. Consult a bike shop for assistance.,,,
My car's steering wheel is off-center,Car,Steering System,Inspect the alignment of the front wheels. Adjust the tie rod ends if necessary. Consult a mechanic for further inspection.,,,
I am experiencing a knocking noise from my bike's crankset,Bike,Transmission System,Inspect and tighten crankset bolts. Check for wear in the bottom bracket. Consult a bike shop for professional assistance.,,,
My car's check fuel cap warning light is on,Car,Engine Management,Inspect the fuel cap for proper sealing. Replace if necessary. Consult a mechanic if the warning light persists.,,,
I am having issues with my bike's rear suspension,Bike,Suspension System,Inspect and adjust rear shock settings. Check for leaks in the suspension system. Consult a bike shop for professional assistance.,,,
My car's central locking system is not working,Car,Electrical System,Check the central locking fuses and wiring. Inspect the central locking actuators. Consult a mechanic for further electrical system inspection.,,,
I am experiencing a grinding noise from my bike's brakes,Bike,Braking System,Inspect brake pads for contamination and wear. Check for debris between brake pads and rotor. Consult a bike shop for assistance.,,,
My car's temperature gauge is reading high,Car,Cooling System,Check coolant levels and inspect for leaks. Test the thermostat and radiator for proper function. Consult a mechanic for further diagnosis.,,,
I am having issues with my bike's pedal threads stripping,Bike,Transmission System,Inspect pedal threads for wear. Replace pedals or use a helicoil to repair stripped threads. Consult a bike shop for assistance.,,,
My car's power steering is making a whining noise,Car,Steering System,Check power steering fluid levels. Inspect the power steering pump and hoses for leaks. Consult a mechanic for further diagnosis.,,,
I am experiencing a squeaking noise from my bike's seatpost,Bike,Frame and Body,Inspect seatpost for proper lubrication. Check for any damage or misalignment. Consult a bike shop for assistance.,,,
My car's traction control system is malfunctioning,Car,Safety System,Use an OBD-II scanner to retrieve traction control system trouble codes. Inspect ABS sensors and wiring. Consult a mechanic for further diagnosis.,,,
I am having issues with my bike's headset coming loose,Bike,Steering System,Inspect headset for wear and proper adjustment. Tighten headset bolts and adjust as needed. Consult a bike shop for professional assistance.,,,
My car's fuel efficiency has decreased,Car,Engine,Check for clogged air filters and fuel injectors. Inspect the oxygen sensor and spark plugs. Consult a mechanic for further diagnosis.,,,
I am experiencing a clicking noise from my bike's freewheel, Bike, Transmission System, Inspect and lubricate freewheel mechanism. Check for wear and replace if necessary. Consult a bike shop for assistance.,,,
My car's power door locks are slow to respond,Car,Electrical System,Check the door lock actuators for proper lubrication. Inspect the power door lock switches. Consult a mechanic for further electrical system inspection.,,,
I am having issues with my bike's rear derailleur,Bike,Transmission System,Adjust rear derailleur alignment and limit screws. Inspect for cable tension issues. Consult a bike shop for assistance.,,,
My car's ABS warning light is illuminated,Car,Safety System,Use an OBD-II scanner to retrieve ABS system trouble codes. Inspect ABS sensors and wiring. Consult a mechanic for further diagnosis.,,,
I am having trouble with my car's power steering,Car,Steering System,Check power steering fluid levels. Inspect for leaks in the power steering system. Consult a mechanic for a thorough inspection.,,,
My bike's gear shifting is delayed, Bike,Transmission System,Adjust the derailleur cable tension. Check for chain wear and cassette condition. Consult a bike shop for professional assistance.,,,
My car's headlights are flickering,Car,Electrical System,Inspect the headlight bulbs,,,
I am experiencing a flat tire on my bike,Bike,Wheel and Tire System,Remove the tire,,,
My car's exhaust emits a rattling noise,Car,Exhaust System,Inspect the exhaust system for loose or damaged components. Tighten or replace hangers and brackets. Consult a mechanic for further diagnosis.,,,
I am dealing with a bike chain that's constantly falling off, Bike,Transmission System,Adjust the front derailleur and limit screws. Check chainring for wear. Consult a bike shop for professional assistance.,,,
My car's windows won't roll up or down,Car,Electrical System,Check the power window switch,,,
I am having issues with my bike's brake lever sticking, Bike,Braking System,Inspect brake levers for damage. Lubricate pivot points and cables. Replace or adjust components as needed. Consult a bike shop for assistance.,,,
My car's air conditioning is producing a foul odor,Car,HVAC System,Clean or replace the cabin air filter. Check for mold or mildew in the HVAC system. Consult a mechanic for a comprehensive inspection.,,,
I am experiencing a wobbling sensation in my car's steering,Car,Steering System,Check for uneven tire wear and proper wheel balance. Inspect for loose or damaged steering components. Consult a mechanic for alignment and steering inspection.,,,
My bike's chain is rusted, Bike,Transmission System,Clean and lubricate the bike chain. Check for stiff links and replace if necessary. Consult a bike shop for professional assistance.,,,
My car's engine is making a knocking sound,Car,Engine,Check oil levels and quality. Inspect for worn-out engine bearings or damaged components. Consult a mechanic for a detailed engine inspection.,,,
I am having difficulty shifting gears in my bike, Bike,Transmission System,Adjust derailleur indexing and cable tension. Inspect the gear shifters and replace if necessary. Consult a bike shop for assistance.,,,
My car's dashboard is displaying a tire pressure warning,Car,Wheel and Tire System,Check tire pressure in all tires. Inflate or deflate as needed. Inspect for tire punctures or damage. Consult a mechanic for tire inspection if the warning persists.,,,
I am experiencing a loss of brakes in my bike, Bike,Braking System,Inspect brake pads,,,
My car's horn is not working,Car,Electrical System,Inspect the horn fuse,,,
I am having issues with my bike's pedals squeaking, Bike,Transmission System,Inspect and lubricate pedal bearings. Check for loose or damaged pedal components. Consult a bike shop for assistance.,,,
My car's windshield wipers are leaving streaks,Car,Electrical System,Replace worn-out wiper blades. Clean the windshield and check for proper wiper arm tension. Consult a mechanic for wiper motor inspection if issues persist.,,,
I am experiencing a rattling noise in my bike's handlebars, Bike,Steering System,Check for loose stem and handlebar bolts. Inspect the headset for wear or damage. Consult a bike shop for professional assistance.,,,
My car's fuel gauge is inaccurate,Car,Electrical System,Inspect the fuel level sensor and wiring. Replace faulty components. Consult a mechanic for a comprehensive inspection of the fuel system.,,,
I am having difficulty starting my scooter, Scooter,Engine,Check the scooter's battery and ignition system. Inspect the starter motor and replace if necessary. Consult a scooter mechanic if issues continue.,,,
My car's automatic transmission is slipping between gears,Car,Transmission System,Check transmission fluid levels and condition. Inspect the transmission solenoids and torque converter. Consult a mechanic for further diagnosis.,,,
I am experiencing a creaking noise in my bike's bottom bracket, Bike,Transmission System,Inspect bottom bracket bearings and threads. Lubricate or replace components as needed. Consult a bike shop for assistance.,,,
My car's side mirrors are not adjusting properly,Car,Electrical System,Inspect the mirror switch and wiring. Replace faulty components. Consult a mechanic for a detailed inspection of the mirror adjustment system.,,,
I am having issues with my bike's front derailleur not shifting smoothly, Bike,Transmission System,Adjust front derailleur cable tension and limit screws. Check for bent derailleur hangers. Consult a bike shop for assistance.,,,
My car's engine is heating,Car,Cooling System,Check coolant levels,,,
I am experiencing a grinding noise in my bike's bottom bracket, Bike,Transmission System,Inspect bottom bracket bearings for wear. Replace or service components as needed. Consult a bike shop for professional assistance.,,,
My car's brake pedal feels soft,Car,Braking System,Bleed the brake system to remove air bubbles. Inspect for brake fluid leaks. Replace brake fluid if necessary.,,,
I am having trouble with my bike's suspension feeling too stiff, Bike,Suspension System,Adjust suspension settings according to the bike's manual. Check for damaged or worn-out suspension components. Consult a bike shop for assistance.,,,
My car's engine is misfiring,Car,Engine,Check and replace faulty spark plugs,,,
I am experiencing a clunking noise in my bike's rear suspension, Bike,Suspension System,Inspect and replace worn-out shocks or linkages. Check for loose bolts and lubricate moving parts. Consult a bike shop for assistance.,,,
My car's door is not closing properly,Car,Body and Interior,Inspect the door hinges,,,
I am having issues with my bike's rear wheel wobbling, Bike,Wheel and Tire System,Check for loose or broken spokes. Inspect the wheel hub and bearings. Consult a bike shop for professional assistance.,,,
My car's central locking system is malfunctioning,Car,Electrical System,Inspect the central locking fuse,,,
My car won't start,Car,Engine,Check the battery and ignition system. If the problem persists,,,
I am experiencing difficulty starting my bike,Bike,Electrical System,Check the battery and charging system. Inspect the starter motor and replace if necessary. Consult a bike mechanic if issues continue.,,,
My car's brakes are stucking,Car,Braking System,Inspect brake pads,,,
I am having an issue with  acceleration on my bike,Bike,Engine,Check throttle cables,,,
My car is experiencing  slipping,Car,Transmission System,Check transmission fluid levels and condition. Inspect and,,,
I am having trouble with my bike chain  gears,Bike,Transmission System,Adjust the derailleur and check chain tension. Replace a worn-out chain or cassette. Consult a bike shop for assistance.,,,
My car is having overheating,Car,Cooling System,Check coolant levels,,,
I am experiencing faulty suspension on my bike,Bike,Suspension System,Inspect and replace worn-out shocks or fork components. Check for loose bolts and lubricate moving parts.,,,
My car has the check engine light problem,Car,Engine Management,Use an OBD-II scanner to retrieve diagnostic trouble codes. Address the specific issue indicated by the codes. Consult a mechanic for further diagnosis.,,,
I am having steering wheel vibration  in my car,Car,Wheel and Tire System,Check wheel balance and tire condition. Rotate or replace tires. Inspect and,,,
My bike won't start due to an issue,Bike,Electrical System,Check the battery connections and charging system. Test the battery's voltage and condition. If the battery is old or faulty,,,
I am experiencing a strange noise when turning in my car,Car,Steering System,Inspect power steering fluid levels and condition. Check for worn-out tie rods or steering components. Consult a mechanic for a detailed inspection.,,,
My scooter is making unusual engine sounds,Bike,Engine,Inspect the exhaust system and engine components for loose parts. Check the oil level and quality. If the noise persists,,,
My car has a brake fluid leak,Car,Braking System,Identify and fix the source of the leak. Replace or repair brake lines. Refill brake fluid and bleed the system.,,,
I am having issues with loose steering in my car,Car,Steering System,Check for loose or worn-out steering components. Inspect the power steering pump and belt. If issues persist,,,
My car is experiencing a loss of power,Car,Engine,Check for clogged air filters,,,
I am having my bicycle pulling to one side while riding,Bicycle,Wheel and Tire System,Check tire pressure and alignment. Inspect the wheel spokes for tension. Adjust or replace the tire if necessary.,,,
My car is emitting smoke from the exhaust,Car,Exhaust System,Check for oil or coolant leaks into the exhaust. Inspect the catalytic converter for damage. Consult a mechanic for further diagnosis.,,,
I am experiencing noisy suspension on my car,Car,Suspension System,Inspect and replace worn-out shocks or struts. Check for damaged or worn-out bushings,,,
My bike's steering wheel is vibrating,Bike,Wheel and Tire System,Check wheel balance and tire condition. Rotate or replace tires. Inspect and,,,
My car has dashboard warning lights on,Car,Electrical System,Use an OBD-II scanner to retrieve diagnostic trouble codes. Diagnose and address the specific issue indicated by the codes. If uncertain,,,
I am experiencing unsteady handlebars on my bike,Bike,Steering System,Check handlebar and stem bolts for proper tightness. Inspect the headset for wear or damage. Consult a bike shop for professional assistance.,,,
My car's dashboard lights are dimming,Car,Electrical System,Check alternator output and battery condition. Inspect for loose or corroded battery terminals. Consult a mechanic for further electrical system inspection.,,,
My car has brake fluid contamination,Car,Braking System,Identify and fix the source of contamination. Flush and replace brake fluid. Inspect and replace damaged brake components.,,,
My bike's brake pedal is spongy,Bike,Braking System,Bleed the brake system to remove air bubbles. Inspect for brake fluid leaks. Replace brake fluid if necessary.,,,
I am experiencing rough idling in my car,Car,Engine,Check and clean the idle air control valve. Inspect for vacuum leaks and replace the air filter. Consult a mechanic for further diagnosis.,,,
My bicycle is experiencing pedal issues,Bicycle,Transmission System,Check pedal bearings and lubricate. Inspect the crankset for wear. Replace or service components as needed.,,,
My car is having issues with a rough ride,Car,Suspension System,Inspect shocks and struts for leaks or damage. Check for worn-out bushings and suspension components. Consult a mechanic for suspension system inspection.,,,
I am having bike brake lever sponginess,Bike,Braking System,Bleed the brake system to remove air bubbles. Inspect for brake fluid leaks. Replace brake fluid if necessary.,,,
My car is making clunking noises over bumps,Car,Suspension System,Check for loose or damaged suspension components. Inspect sway bar links and bushings. Consult a mechanic for suspension system inspection.,,,
I am experiencing bike gears not shifting smoothly,Bike,Transmission System,Adjust derailleur indexing and cable tension. Check for bent derailleur hangers. Consult a bike shop for assistance.,,,
My car is emitting excessive exhaust smoke,Car,Engine,Identify the color of the smoke (blue,,,
I am dealing with a bike tire puncture,Bicycle,Wheel and Tire System,Remove the tire,,,
My car has a rough idle,Car,Engine,Clean the throttle body,,,
I am having trouble with my bike's chain falling off,Bike,Transmission System,Adjust the derailleur,,,
My car's headlights are dim,Car,Electrical System,Inspect and tighten loose connections,,,
I am experiencing a wobbling front wheel on my bike,Bike,Wheel and Tire System,Check wheel trueness,,,
My car's exhaust smells like rotten eggs,Car,Exhaust System,Check for a failing catalytic converter,,,
I am having problem shifting gears on my bike,Bike,Transmission System,Adjust the derailleur indexing,,,
My car's power windows are not functioning,Car,Electrical System,Check fuses,,,
I am experiencing a clicking noise while turning in my car,Car,Steering System,Inspect the CV joints,,,
My bike's pedals are making a squeaking noise,Bike,Transmission System,Lubricate pedal bearings,,,
My car is pulling to one side during braking,Car,Braking System,Inspect brake calipers,,,
I am having issues with my bike's handlebars being too loose,Bike,Steering System,Tighten stem bolts,,,
My car's air conditioner is blowing warm air,Car,HVAC System,Check refrigerant levels,,,
I am experiencing a knocking noise from my car's suspension,Car,Suspension System,Inspect for loose or damaged components,,,
My bike's brakes are not responsive,Bike,Braking System,Check brake pads for wear,,,
My car's power steering is making a noise,Car,Steering System,Check power steering fluid levels,,,
I am having difficulty starting my car in cold weather,Car,Engine,Check the battery,,,
My bike's gears are slipping under load,Bike,Transmission System,Adjust derailleur indexing,,,
My car's windshield wipers are shaking,Car,Electrical System,Replace worn-out wiper blades,,,
I am experiencing a vibration in the steering wheel of my car,Car,Wheel and Tire System,Check wheel balance,,,
My bike's front suspension is too soft,Bike,Suspension System,Adjust suspension preload settings,,,
My car's fuel gauge is not functioning,Car,Electrical System,Inspect the fuel sending unit,,,
I am having difficulty pedaling smoothly on my bike,Bike,Transmission System,Check chain lubrication,,,
My car's engine is firing wrongly.,Car,Engine,Check spark plugs,,,
I am experiencing a creaking noise from my bike's bottom bracket,Bike,Transmission System,Lubricate bottom bracket,,,
My car's brake pedal feels spongy,Car,Braking System,Bleed the brake system to remove air bubbles,,,
I am having issues with my bike's seat slipping,Bike,Frame and Components,Tighten seat post clamp,,,
My car's check engine light is flashing,Car,Engine Management,Perform a diagnostic scan to retrieve error codes,,,
I am experiencing a  noise from my bike's chain,Bike,Transmission System,Check for a loose chain,,,
My car's horn is not functioning.,Car,Electrical System,Check the fuse,,,
I am having difficulty balancing on my bike,Bike,Frame and Components,Inspect for loose bolts,,,
My car's steering wheel is off blance,Car,Steering System,Inspect for misaligned wheels,,,
I am experiencing a burning smell from my car's engine,Car,Engine,Check for oil or coolant leaks,,,
My car's steering wheel is shaking at high speeds,Car,Wheel and Tire System,Check wheel balance,,,
I am having difficulty with my mountain bike's suspension feeling too soft,Bike,Suspension System,Adjust suspension preload settings,,,
My car's fuel door won't open,Car,Body and Interior,Inspect the fuel door latch,,,
I am experiencing a hissing noise from my road bike's tires,Bike,Wheel and Tire System,Check for punctures or leaks,,,
My car's windshield wipers are having poblems,Car,Body and Interior,Replace worn-out wiper blades,,,
I am having trouble with my electric car's charging cable,Bike,Electrical System,Check the charging cable for damage,,,
My car's power door locks are not working,Car,Electrical System,Check fuses,,,
I am experiencing a loud clicking noise from my hybrid bike's pedals,Bike,Transmission System,Inspect pedal bearings,,,
My car's sunroof is not closing properly,Car,Body and Interior,Inspect the sunroof tracks,,,
I am having difficulty with my cruiser bike's brakes not engaging properly,Bike,Braking System,Inspect brake pads for wear,,,
My car's side mirror is loose,Car,Body and Interior,Tighten the mirror bolts,,,
I am experiencing a knocking noise from my sports bike's engine,Bike,Engine,Check for loose components,,,
My car's air vents are not blowing cold air,Car,HVAC System,Check refrigerant levels,,,
I am having trouble with my folding bike's frame latch,Bike,Frame and Components,Inspect the frame latch mechanism,,,
My car's dashboard is displaying warning messages,Car,Electrical System,Use an OBD-II scanner to retrieve diagnostic trouble codes,,,
I am experiencing a clunking noise from my touring bike's pedals,Bike,Transmission System,Lubricate pedal bearings,,,
My car's rearview camera is not working,Car,Electrical System,Check the camera connections,,,
I am having difficulty with my BMX bike's handlebars being too loose,Bike,Steering System,Tighten stem bolts,,,
My car's fuel cap won't tighten,Car,Body and Interior,Inspect the fuel cap threads,,,
I am experiencing a rubbing noise from my electric scooter's brakes,Bike,Braking System,Inspect for brake pad misalignment,,,
My car's horn is stuck,Car,Electrical System,Inspect the horn button,,,
I am having trouble with my downhill bike's suspension feeling too stiff,Bike,Suspension System,Adjust suspension settings,,,
My car's gear shifter is loose,Car,Transmission System,Tighten the gear shifter bolts,,,
I am experiencing a high-pitched squeal from my scooter's engine,Bike,Engine,Inspect the drive belt,,,
My car's door is creaking when opened,Car,Body and Interior,Inspect door hinges,,,
I am having difficulty with my commuter bike's gears slipping,Bike,Transmission System,Adjust derailleur indexing,,,
My car's battery is constantly draining,Car,Electrical System,Check for parasitic drains,,,
I am experiencing a grinding noise from my dirt bike's brakes,Bike,Braking System,Inspect for brake pad contamination,,,
My car's side airbags deployed unexpectedly,Car,Safety System,Inspect the airbag system,,,
I am having trouble with my touring bike's chain dropping frequently,Bike,Transmission System,Adjust the front derailleur and limit screws,,,
My car's trunk won't stay open,Car,Body and Interior,Inspect the trunk struts,,,
My car's headlights are damged,Car,Electrical System,Inspect and tighten loose connections,,,
I am having trouble with my chain falling off ,Bike,Transmission System,Adjust the derailleur,,,
My car's brakes are squeaking,Car,Braking System,Inspect brake pads,,,
I am having an issue with unresponsive acceleration on my bike,Bike,Engine,Check throttle cables,,,
My car is experiencing transmission slipping,Car,Transmission System,Check transmission fluid levels and condition. Inspect and,,,
I am having trouble with my bike chain skipping gears,Bike,Transmission System,Adjust the derailleur and check chain tension. Replace a worn-out chain or cassette. Consult a bike shop for assistance.,,,
My car is overheating,Car,Cooling System,Check coolant levels,,,
I am experiencing noisy suspension on my bike,Bike,Suspension System,Inspect and replace worn-out shocks or fork components. Check for loose bolts and lubricate moving parts.,,,
My car has the check engine light on,Car,Engine Management,Use an OBD-II scanner to retrieve diagnostic trouble codes. Address the specific issue indicated by the codes. Consult a mechanic for further diagnosis.,,,
I am having steering wheel vibration at high speeds in my car,Car,Wheel and Tire System,Check wheel balance and tire condition. Rotate or replace tires. Inspect and,,,
My bike won't start due to an electrical issue,Bike,Electrical System,Check the battery connections and charging system. Test the battery's voltage and condition. If the battery is old or faulty,,,
I am experiencing a  noise when turning in my car,Car,Steering System,Inspect power steering fluid levels and condition. Check for worn-out tie rods or steering components. Consult a mechanic for a detailed inspection.,,,
My scooter is making  engine sounds,Bike,Engine,Inspect the exhaust system and engine components for loose parts. Check the oil level and quality. If the noise persists,,,
My car has a  fluid leak,Car,Braking System,Identify and fix the source of the leak. Replace or repair brake lines. Refill brake fluid and bleed the system.,,,
I am having issues with loose steering ,Car,Steering System,Check for loose or worn-out steering components. Inspect the power steering pump and belt. If issues persist,,,
My car is experiencing a power loss,Car,Engine,Check for clogged air filters,,,
I am having my bicycle pulling to one side,Bicycle,Wheel and Tire System,Check tire pressure and alignment. Inspect the wheel spokes for tension. Adjust or replace the tire if necessary.,,,
My car is emitting smoke ,Car,Exhaust System,Check for oil or coolant leaks into the exhaust. Inspect the catalytic converter for damage. Consult a mechanic for further diagnosis.,,,
I am experiencing noise in suspension on my car,Car,Suspension System,Inspect and replace worn-out shocks or struts. Check for damaged or worn-out bushings,,,
My bike's steering wheel is having vibration,Bike,Wheel and Tire System,Check wheel balance and tire condition. Rotate or replace tires. Inspect and,,,
My car has dashboard warning lights flickering,Car,Electrical System,Use an OBD-II scanner to retrieve diagnostic trouble codes. Diagnose and address the specific issue indicated by the codes. If uncertain,,,
I am experiencing shaky handlebars on my bike,Bike,Steering System,Check handlebar and stem bolts for proper tightness. Inspect the headset for wear or damage. Consult a bike shop for professional assistance.,,,
My car's dashboard lights are dim,Car,Electrical System,Check alternator output and battery condition. Inspect for loose or corroded battery terminals. Consult a mechanic for further electrical system inspection.,,,
My car has brake fluid problem,Car,Braking System,Identify and fix the source of contamination. Flush and replace brake fluid. Inspect and replace damaged brake components.,,,
My bike's brake pedal is soft,Bike,Braking System,Bleed the brake system to remove air bubbles. Inspect for brake fluid leaks. Replace brake fluid if necessary.,,,
